date,ES=F,NQ=F,GC=F,CL=F,EURUSD=X,BTC-USD,portfolio_value,portfolio_value_eur,pos_value,ddn,exchange_rate,dayly_profit,dayly_profit_eur,ddn_eur,keep_day,portfolio_return,cagr,weekly_return,monthly_return
2024-04-04,0,36,61,15,0,23,2338566.22,2182590.03,3142719.71,0.0051,0.93,-11602.09,-10774.05,-0.005,0,-0.004912111991913437,0.3531586724835163,0.010706537396996563,0.03729571375648866
2024-04-05,0,26,61,15,0,23,2369972.52,2211798.28,2812734.12,0.0,0.92,31656.91,29208.25,0.0,0,0.013382380382265469,0.35709659280257466,0.015324217870664292,0.07249371080510314
2024-04-08,0,26,61,15,0,27,2391859.66,2232218.85,2890131.31,0.0,0.92,22129.88,20420.57,0.0,0,0.009232564372913865,0.36938883845208215,0.021325926315199695,0.06572313171520228
2024-04-09,0,26,61,15,0,27,2387166.04,2228110.05,2885437.69,0.002,0.92,-4450.04,-4108.81,-0.002,1,-0.0018406797344266979,0.3681744780756352,0.026537374065825903,0.05186109342101186
2024-04-10,0,28,61,16,0,27,2378467.2,2220324.98,2959184.63,0.0056,0.92,-8457.43,-7785.06,-0.005,0,-0.0034940240047837134,0.36057195873721426,0.012368129024055485,0.04941924002105669
2024-04-11,0,28,61,16,0,27,2405229.89,2245195.46,2985947.32,0.0,0.92,27007.59,24870.48,0.0,1,0.011201279192922353,0.3668241758505799,0.028481520208891276,0.05349203488415477
2024-04-12,0,38,61,17,0,26,2368050.97,2210802.38,3313945.49,0.0157,0.93,-36944.07,-34393.08,-0.016,0,-0.01531852376006504,0.3532538091304892,-0.00021938393343923224,0.037172235013460675
2024-04-15,0,38,61,17,0,26,2330851.82,2176340.21,3276746.33,0.0319,0.93,-36967.05,-34462.17,-0.032,1,-0.015588082549467863,0.3254731806105705,-0.02504003085582096,0.017253340693631714
2024-04-16,0,35,61,17,0,26,2348373.7,2193012.2,3187009.22,0.0242,0.94,17755.04,16671.99,-0.024,0,0.007660562408117411,0.3410931789542331,-0.015538788713276852,0.031942406421557545
2024-04-17,0,34,61,16,0,26,2304061.1,2151524.8,3098457.77,0.0439,0.94,-44083.47,-41487.4,-0.044,0,-0.018917997811412235,0.3294914826067189,-0.030962762519905374,0.025092607783543608
2024-04-18,0,29,61,11,0,19,2312691.27,2159880.31,2803295.0,0.04,0.94,8874.78,8355.51,-0.039,0,0.003883529485693149,0.324772922694616,-0.03828051222713458,0.01858682525374178
2024-04-19,0,23,61,10,0,18,2306909.68,2154696.09,2566315.29,0.0426,0.94,-5531.26,-5184.23,-0.042,0,-0.0024002348537545126,0.33411981556163894,-0.02536222332082405,0.027048836372721374
2024-04-22,0,23,58,10,0,18,2285427.61,2134745.53,2474241.62,0.0524,0.94,-21235.75,-19950.56,-0.052,0,-0.009259106234327463,0.3267983235440002,-0.01903324700568365,0.00014247729156247058
2024-04-23,0,21,59,10,0,18,2292555.65,2141666.42,2435252.66,0.0491,0.94,7376.46,6920.89,-0.048,0,0.0032420210759265267,0.34139170838437094,-0.023451788337874535,0.000421402272290039
2024-04-24,0,21,59,10,0,18,2284873.83,2134689.19,2427570.83,0.0527,0.94,-7433.58,-6977.23,-0.052,1,-0.00325785095888087,0.33501877114424394,-0.00779164148534317,0.005535847006129746
2024-04-25,0,21,60,10,0,18,2285567.17,2135569.97,2451419.17,0.0524,0.93,942.82,880.79,-0.051,0,0.00041260339169113536,0.3333946101852011,-0.011262567579345184,-0.008028071515075785
2024-04-26,0,21,60,10,0,18,2297918.67,2147348.26,2463770.68,0.0467,0.93,12602.62,11778.28,-0.046,1,0.005515291077069939,0.3396344232575712,-0.003347041648520732,-0.0007044176090176268
2024-04-29,0,27,60,10,0,18,2306268.47,2155363.08,2686527.47,0.0429,0.93,8599.6,8014.83,-0.042,0,0.0037324267093965524,0.33301313416766387,0.009644491295203284,-0.0011073044141254318
2024-04-30,0,27,60,10,0,18,2243651.11,2097106.46,2623910.12,0.072,0.93,-62374.59,-58256.63,-0.071,1,-0.027028680476423594,0.3050454870074796,-0.020626210257146838,-0.036900684799146766
2024-05-01,0,21,51,6,0,18,2230150.88,2084740.17,2162469.89,0.0785,0.93,-13251.35,-12366.29,-0.077,0,-0.00589683463184798,0.3078025099274293,-0.023265193930113948,-0.04602837535937321
2024-05-02,0,18,51,6,0,18,2240785.32,2094944.21,2068197.33,0.0734,0.94,10884.2,10204.04,-0.072,0,0.004894633943758997,0.30443956974975106,-0.018783163378046086,-0.034081613930561305
2024-05-03,0,18,50,6,0,18,2266379.4,2119051.87,2070796.41,0.0613,0.93,25847.17,24107.66,-0.06,0,0.011507542723536268,0.3122358662480105,-0.012790911731579757,-0.03324929224401174
2024-05-06,0,22,46,5,0,18,2287047.06,2138545.55,2135161.06,0.0517,0.93,20922.7,19493.68,-0.05,0,0.009199246264792738,0.3187197776540869,-0.007324092176183572,-0.019137933987305566
2024-05-07,0,22,42,5,0,18,2281595.31,2133716.71,2036757.32,0.0542,0.93,-5194.92,-4828.84,-0.052,0,-0.00225800193968273,0.3164937195883222,0.017446586360557292,-0.034778316309253765
2024-05-08,0,23,42,5,0,18,2276507.62,2129229.83,2068062.63,0.0565,0.93,-4831.25,-4486.88,-0.054,0,-0.0021028471019471917,0.3213126745877609,0.02124057389045808,-0.04611372778411482
2024-05-09,0,24,42,5,0,18,2292506.4,2144350.33,2120387.9,0.0492,0.93,16255.28,15120.5,-0.047,0,0.007101394028468988,0.32721363494597877,0.023447333975168072,-0.037171654021219136
2024-05-10,0,24,42,5,0,18,2300608.51,2152129.75,2128490.02,0.0455,0.93,8360.47,7779.42,-0.043,1,0.003627868026583103,0.3301322077054748,0.015567659278214907,-0.03004976198985232
2024-05-13,0,24,42,5,0,18,2297469.75,2149458.74,2125351.26,0.0469,0.93,-2880.72,-2671.01,-0.045,1,-0.0012411008211747898,0.3357735446827498,0.00512731219224738,-0.04249214200394946
2024-05-14,0,24,42,5,0,18,2305066.49,2156752.6,2132948.0,0.0435,0.93,7855.79,7293.87,-0.041,1,0.0033933472944913667,0.34131918863964295,0.010778661426421476,-0.023780270949393056
2024-05-15,0,24,48,5,0,26,2353669.17,2202010.23,2427685.93,0.0219,0.93,48849.01,45257.63,-0.02,0,0.02098415460354608,0.35723447859859836,0.03386566313191475,0.012791966203620886
2024-05-16,0,24,48,4,0,26,2342358.46,2191779.26,2408496.23,0.0268,0.92,-11064.34,-10230.98,-0.024,0,-0.004646195490199956,0.36122867908121303,0.022118073613245803,0.00048520830530351944
2024-05-17,0,24,48,4,0,26,2366903.96,2214549.25,2433041.73,0.0162,0.92,24796.07,22769.99,-0.014,1,0.010388815340829582,0.3669997227025169,0.028879020927492283,0.029792021457545337
2024-05-20,0,24,54,4,0,26,2407264.79,2251917.09,2618380.56,0.0,0.92,40610.6,37367.85,0.0,0,0.016873790456455096,0.38611710819828027,0.04699391220512217,0.04278228242830728
2024-05-21,0,24,54,4,0,26,2395380.17,2241218.45,2606495.94,0.005,0.92,-11635.28,-10698.64,-0.005,1,-0.004750903151589658,0.3764864234260743,0.03884966175904114,0.04043161413047214
2024-05-22,0,24,54,4,0,26,2371280.35,2219255.75,2582396.12,0.0152,0.92,-23853.32,-21962.7,-0.015,1,-0.009799446368112918,0.3664739701184664,0.008066060787382145,0.03989127399668668
2024-05-23,0,24,50,4,0,26,2332526.13,2183779.03,2448901.73,0.032,0.92,-38510.58,-35476.72,-0.031,0,-0.015985863729315652,0.3538352412501925,-0.003273607451733551,0.020663389191444503
2024-05-24,0,24,45,4,0,26,2343826.14,2194444.25,2343096.73,0.0271,0.92,11545.32,10665.22,-0.026,0,0.004883836621510262,0.3682732266294324,-0.008778586171052871,0.028805076771835636
2024-05-28,0,24,45,3,0,26,2356578.73,2206466.33,2348073.32,0.0215,0.92,12999.1,12022.08,-0.021,0,0.005478416687960896,0.36863218600490444,-0.02017395993954707,0.0338708900681054
2024-05-29,0,24,45,0,0,26,2339641.52,2191100.3,2307073.11,0.0289,0.92,-16690.42,-15366.03,-0.028,0,-0.00696408995282527,0.35003814086623397,-0.022387146740782682,0.021391509038210188
2024-05-30,0,15,45,0,0,26,2334497.74,2186590.79,1967997.92,0.0312,0.92,-4893.66,-4509.5,-0.03,0,-0.0020581029540271967,0.33715184994443603,-0.01464580332669696,0.015600979374786439
2024-05-31,0,16,45,0,0,26,2320485.63,2173847.32,1991172.31,0.0374,0.93,-13765.27,-12743.47,-0.036,0,-0.005828008632561832,0.33513349317877383,-0.0044879482299431395,0.0368016512186482
2024-06-03,0,16,45,0,0,26,2339748.23,2191854.39,2010434.91,0.0289,0.92,19511.39,18007.07,-0.027,1,0.008283502633478657,0.3376724694362846,-0.0010882822179747453,0.05098198848397484
2024-06-04,0,22,45,0,0,26,2341604.71,2193790.68,2236271.38,0.028,0.92,2101.47,1936.29,-0.026,0,0.000883402660703192,0.3390080575356552,-0.00568329624523245,0.04697075720091903
2024-06-05,0,23,45,0,0,26,2374297.53,2223992.54,2306391.21,0.0139,0.92,32942.33,30201.86,-0.013,0,0.013766974340505334,0.3595545062077319,0.015047768048098153,0.0492301888178881
2024-06-06,0,23,45,0,0,26,2379250.1,2228772.81,2311343.78,0.0118,0.92,5201.83,4780.27,-0.01,1,0.002149409188216156,0.351859167060967,0.019255280190341506,0.04218035174131152
2024-06-07,0,23,45,0,0,26,2341564.25,2194343.03,2273657.92,0.0281,0.92,-37440.77,-34429.78,-0.026,1,-0.015447864333915762,0.3538663674546718,0.009635424488987576,0.028990489347078485
2024-06-10,0,23,45,4,0,26,2347427.82,2199950.14,2310073.34,0.0255,0.92,6108.63,5607.11,-0.024,0,0.0025552568232689588,0.34544504976114343,0.003907178678777878,0.033648593272294636
2024-06-11,0,23,45,4,0,23,2342122.11,2195257.56,2264405.84,0.0278,0.93,-5058.08,-4692.58,-0.026,0,-0.002133039251516866,0.3418123248729552,0.0008907367665578203,0.02441415999230878
2024-06-12,0,23,45,4,0,24,2371243.69,2222541.87,2306996.7,0.0152,0.93,29369.56,27284.32,-0.013,0,0.01242875118489506,0.35003878737206384,-0.00044748638905245386,0.03321504315062074
2024-06-13,0,23,45,4,0,23,2353033.33,2205817.18,2275332.41,0.023,0.93,-17962.87,-16724.69,-0.021,0,-0.00752502808867217,0.3403699811679374,-0.01012192366594078,0.026931115883123358
2024-06-14,0,29,45,4,0,22,2368500.2,2220352.45,2512717.77,0.0164,0.92,15717.2,14535.27,-0.014,0,0.006589517087721708,0.34568426687337894,0.01191545775569669,0.0301272856763537
2024-06-17,0,29,45,4,0,22,2376484.19,2228017.95,2520701.76,0.013,0.93,8231.85,7665.5,-0.011,1,0.0034523798237526826,0.3399058509653471,0.012812580756180414,0.012595510896560302
2024-06-18,0,34,45,4,0,22,2379008.67,2230605.43,2722436.24,0.0119,0.93,2769.16,2587.48,-0.01,0,0.0011613371427281471,0.33231714458596373,0.016106957150425427,0.018403043529488405
